0,NULL,NULL,NULL
1,水素,すいそ,H
2,ヘリウム,へりうむ,He
3,リチウム,りちうむ,Li
4,ベリリウム,べりりうむ,Be
5,ホウ素,ほうそ,Be
6,炭素,たんそ,C
7,窒素,ちっそ,N
8,酸素,さんそ,O
9,フッ素,ふっそ,F
10,ネオン,ねおん,Ne
11,ナトリウム,なとりうむ,Na
12,マグネシウム,まぐねしうむ,Mg
13,アルミニウム,あるみにうむ,Al
14,ケイ素,けいそ,Si
15,リン,りん,P
16,硫黄,いおう,S
17,塩素,えんそ,Cl
18,アルゴン,あるごん,Ar
19,カリウム,かりうむ,K
20,カルシウム,かるしうむ,Ca
